0117981020-0-0,,2020-06-13T11:59:59
0,BD-S005,2020-06-11T14:15:36,2020-06-11T15:03:35.999999
1,BD-S007,2020-06-12T04:51:36,2020-06-12T05:59:59.999999
2,BD-S016,2020-06-12T07:35:24,2020-06-12T08:11:59.999999
3,BD-S011,2020-06-12T08:12:00,2020-06-12T08:11:59.999999
4,BD-S008,2020-06-12T08:12:00,2020-06-12T09:58:11.999999
5,BD-S019,2020-06-13T10:36:36,2020-06-13T13:16:11.999999
0118381020-P-0-0,,2020-06-15T11:59:59
0,BD-S005,2020-06-11T09:40:12,2020-06-11T10:28:11.999999
1,BD-S008,2020-06-12T02:33:00,2020-06-12T04:19:11.999999
2,BD-S016,2020-06-12T04:19:12,2020-06-12T04:55:47.999999
3,BD-S010,2020-06-12T04:55:48,2020-06-12T04:55:47.999999
4,BD-S024,2020-06-12T18:41:24,2020-06-12T20:41:23.999999
5,BD-S019,2020-06-13T07:57:00,2020-06-13T10:36:35.999999
0118391020-P-0-0,,2020-06-15T11:59:59
0,BD-S005,2020-06-11T08:52:12,2020-06-11T09:40:11.999999
1,BD-S008,2020-06-12T00:46:48,2020-06-12T02:32:59.999999
2,BD-S016,2020-06-12T03:36:36,2020-06-12T04:13:11.999999
3,BD-S010,2020-06-12T04:13:12,2020-06-12T04:13:11.999999
4,BD-S024,2020-06-12T16:41:24,2020-06-12T18:41:23.999999
5,BD-S019,2020-06-13T05:17:24,2020-06-13T07:56:59.999999
0118401020-P-0-0,,2020-06-15T11:59:59
0,BD-S005,2020-06-11T06:28:12,2020-06-11T07:16:11.999999
1,BD-S007,2020-06-12T00:38:24,2020-06-12T01:46:47.999999
2,BD-S016,2020-06-12T01:46:48,2020-06-12T02:23:23.999999
3,BD-S010,2020-06-12T02:23:24,2020-06-12T02:23:23.999999
4,BD-S024,2020-06-12T10:41:24,2020-06-12T12:41:23.999999
5,BD-S019,2020-06-12T17:18:36,2020-06-12T19:58:11.999999
0118411020-P-0-0,,2020-06-15T11:59:59
0,BD-S005,2020-06-11T03:59:24,2020-06-11T04:47:23.999999
1,BD-S007,2020-06-11T23:30:00,2020-06-12T00:38:23.999999
2,BD-S016,2020-06-12T00:42:00,2020-06-12T01:18:35.999999
3,BD-S010,2020-06-12T01:18:36,2020-06-12T01:18:35.999999
4,BD-S024,2020-06-12T08:41:24,2020-06-12T10:41:23.999999
5,BD-S019,2020-06-12T14:39:00,2020-06-12T17:18:35.999999
0118421020-A-0-0,,2020-06-20T11:59:59
0,BD-S005,2020-06-14T13:27:36,2020-06-14T14:15:35.999999
1,BD-S007,2020-06-16T10:20:24,2020-06-16T11:28:47.999999
2,BD-S016,2020-06-16T17:47:24,2020-06-16T18:23:59.999999
3,BD-S010,2020-06-16T18:24:00,2020-06-16T18:23:59.999999
4,BD-S007,2020-06-16T18:24:00,2020-06-16T19:32:23.999999
5,BD-S020,2020-06-16T21:19:48,2020-06-16T23:59:23.999999
0118431020-P-0-0,,2020-06-15T11:59:59
0,BD-S005,2020-06-11T03:11:24,2020-06-11T03:59:23.999999
1,BD-S007,2020-06-11T22:21:36,2020-06-11T23:29:59.999999
2,BD-S016,2020-06-12T00:05:24,2020-06-12T00:41:59.999999
3,BD-S010,2020-06-12T00:42:00,2020-06-12T00:41:59.999999
4,BD-S024,2020-06-12T06:41:24,2020-06-12T08:41:23.999999
5,BD-S019,2020-06-12T11:59:24,2020-06-12T14:38:59.999999
0118441020-P-0-0,,2020-06-15T11:59:59
0,BD-S005,2020-06-11T02:23:24,2020-06-11T03:11:23.999999
1,BD-S007,2020-06-11T21:13:12,2020-06-11T22:21:35.999999
2,BD-S016,2020-06-11T23:28:48,2020-06-12T00:05:23.999999
3,BD-S010,2020-06-12T00:05:24,2020-06-12T00:05:23.999999
4,BD-S024,2020-06-12T04:41:24,2020-06-12T06:41:23.999999
5,BD-S019,2020-06-12T09:19:48,2020-06-12T11:59:23.999999
0118451020-P-0-0,,2020-06-15T11:59:59
0,BD-S005,2020-06-11T01:35:24,2020-06-11T02:23:23.999999
1,BD-S007,2020-06-11T18:07:12,2020-06-11T19:15:35.999999
2,BD-S016,2020-06-11T22:52:12,2020-06-11T23:28:47.999999
3,BD-S010,2020-06-11T23:28:48,2020-06-11T23:28:47.999999
4,BD-S024,2020-06-12T02:41:24,2020-06-12T04:41:23.999999
5,BD-S019,2020-06-12T06:40:12,2020-06-12T09:19:47.999999
0118461020-P-0-0,,2020-06-15T11:59:59
0,BD-S005,2020-06-11T00:47:24,2020-06-11T01:35:23.999999
1,BD-S007,2020-06-11T16:58:48,2020-06-11T18:07:11.999999
2,BD-S016,2020-06-11T21:18:00,2020-06-11T21:54:35.999999
3,BD-S010,2020-06-11T21:54:36,2020-06-11T21:54:35.999999
4,BD-S024,2020-06-12T00:41:24,2020-06-12T02:41:23.999999
5,BD-S019,2020-06-12T04:00:36,2020-06-12T06:40:11.999999
0118471020-P-0-0,,2020-06-15T11:59:59
0,BD-S005,2020-06-10T23:59:24,2020-06-11T00:47:23.999999
1,BD-S007,2020-06-11T15:50:24,2020-06-11T16:58:47.999999
2,BD-S016,2020-06-11T20:41:24,2020-06-11T21:17:59.999999
3,BD-S010,2020-06-11T21:18:00,2020-06-11T21:17:59.999999
4,BD-S024,2020-06-11T22:41:24,2020-06-12T00:41:23.999999
5,BD-S019,2020-06-12T01:21:00,2020-06-12T04:00:35.999999
0118481020-P-0-0,,2020-06-15T11:59:59
0,BD-S005,2020-06-11T08:04:12,2020-06-11T08:52:11.999999
1,BD-S008,2020-06-11T23:00:36,2020-06-12T00:46:47.999999
2,BD-S016,2020-06-12T03:00:00,2020-06-12T03:36:35.999999
3,BD-S010,2020-06-12T03:36:36,2020-06-12T03:36:35.999999
4,BD-S024,2020-06-12T14:41:24,2020-06-12T16:41:23.999999
5,BD-S019,2020-06-13T02:37:48,2020-06-13T05:17:23.999999
0118491020-P-0-0,,2020-06-15T11:59:59
0,BD-S005,2020-06-11T07:16:12,2020-06-11T08:04:11.999999
1,BD-S008,2020-06-11T21:14:24,2020-06-11T23:00:35.999999
2,BD-S016,2020-06-12T02:23:24,2020-06-12T02:59:59.999999
3,BD-S010,2020-06-12T03:00:00,2020-06-12T02:59:59.999999
4,BD-S024,2020-06-12T12:41:24,2020-06-12T14:41:23.999999
5,BD-S019,2020-06-12T23:58:12,2020-06-13T02:37:47.999999
0118501020-P-0-0,,2020-06-15T11:59:59
0,BD-S005,2020-06-10T23:11:24,2020-06-10T23:59:23.999999
1,BD-S007,2020-06-11T14:42:00,2020-06-11T15:50:23.999999
2,BD-S016,2020-06-11T20:04:48,2020-06-11T20:41:23.999999
3,BD-S010,2020-06-11T20:41:24,2020-06-11T20:41:23.999999
