0117981020-0-0,,2020-06-13T11:59:59
0,BD-S005,73.79,0.8
1,BD-S007,77.96,1.14
2,BD-S016,87.08,0.61
3,BD-S011,87.69,0
4,BD-S008,87.69,1.77
5,BD-S019,98.48,2.66
0118381020-P-0-0,,2020-06-15T11:59:59
0,BD-S005,67.73,0.8
1,BD-S008,68.53,1.77
2,BD-S016,85.69,0.61
3,BD-S010,86.3,0
4,BD-S024,88.68,2
5,BD-S019,95.82,2.66
0118391020-P-0-0,,2020-06-15T11:59:59
0,BD-S005,59.18,0.8
1,BD-S008,59.98,1.77
2,BD-S016,81.12,0.61
3,BD-S010,81.73,0
4,BD-S024,86.68,2
5,BD-S019,93.16,2.66
0118401020-P-0-0,,2020-06-15T11:59:59
0,BD-S005,58.38,0.8
1,BD-S007,69.18,1.14
2,BD-S016,80.51,0.61
3,BD-S010,81.12,0
4,BD-S024,84.68,2
5,BD-S019,90.5,2.66
0118411020-P-0-0,,2020-06-15T11:59:59
0,BD-S005,57.58,0.8
1,BD-S007,68.04,1.14
2,BD-S016,79.9,0.61
3,BD-S010,80.51,0
4,BD-S024,82.68,2
5,BD-S019,87.84,2.66
0118421020-A-0-0,,2020-06-20T11:59:59
0,BD-S005,56.78,0.8
1,BD-S007,66.9,1.14
2,BD-S016,79.29,0.61
3,BD-S010,79.9,0
4,BD-S007,79.9,1.14
5,BD-S020,81.04,2.66
0118431020-P-0-0,,2020-06-15T11:59:59
0,BD-S005,55.98,0.8
1,BD-S007,65.76,1.14
2,BD-S016,78.68,0.61
3,BD-S010,79.29,0
4,BD-S024,80.68,2
5,BD-S019,85.18,2.66
0118441020-P-0-0,,2020-06-15T11:59:59
0,BD-S005,55.18,0.8
1,BD-S007,64.62,1.14
2,BD-S016,78.07,0.61
3,BD-S010,78.68,0
4,BD-S024,78.68,2
5,BD-S019,82.52,2.66
0118451020-P-0-0,,2020-06-15T11:59:59
0,BD-S005,54.38,0.8
1,BD-S007,63.48,1.14
2,BD-S016,74.02,0.61
3,BD-S010,74.63,0
4,BD-S024,76.54,2
5,BD-S019,79.86,2.66
0118461020-P-0-0,,2020-06-15T11:59:59
0,BD-S005,53.58,0.8
1,BD-S007,62.34,1.14
2,BD-S016,73.41,0.61
3,BD-S010,74.02,0
4,BD-S024,74.54,2
5,BD-S019,77.2,2.66
0118471020-P-0-0,,2020-06-15T11:59:59
0,BD-S005,52.78,0.8
1,BD-S007,61.2,1.14
2,BD-S016,71.93,0.61
3,BD-S010,72.54,0
4,BD-S024,72.54,2
5,BD-S019,74.54,2.66
0118481020-P-0-0,,2020-06-15T11:59:59
0,BD-S005,51.98,0.8
1,BD-S008,55.11,1.77
2,BD-S016,65.23,0.61
3,BD-S010,65.84,0
4,BD-S024,67.23,2
5,BD-S019,69.89,2.66
0118491020-P-0-0,,2020-06-15T11:59:59
0,BD-S005,49.85,0.8
1,BD-S008,53.34,1.77
2,BD-S016,55.11,0.61
3,BD-S010,55.72,0
4,BD-S024,55.72,2
5,BD-S019,57.72,2.66
0118501020-P-0-0,,2020-06-15T11:59:59
0,BD-S005,49.05,0.8
1,BD-S007,60.06,1.14
2,BD-S016,64.62,0.61
3,BD-S010,65.23,0
4,BD-S024,65.23,2
5,BD-S019,67.23,2.66
0118511020-P-0-0,,2020-06-18T11:59:59
0,BD-S005,48.25,0.8
1,BD-S007,58.92,1.14
2,BD-S016,75.41,2.66
0118521020-P-0-0,,2020-06-21T11:59:59
0,BD-S005,47.45,0.8
1,BD-S007,57.78,1.14
2,BD-S016,61.96,2.66
0118531020-P-0-0,,2020-06-21T11:59:59
0,BD-S005,46.65,0.8
1,BD-S007,56.64,1.14
2,BD-S016,59.3,2.66
0118541020-P-0-0,,2020-06-23T11:59:59
0,BD-S005,45.85,0.8
1,BD-S007,55.5,1.14
2,BD-S016,56.64,2.66
0118551020-A-0-0,,2020-06-20T11:59:59
0,BD-S005,45.05,0.8
1,BD-S007,50.74,1.14
2,BD-S016,53.08,0.61
3,BD-S010,53.69,0
4,BD-S007,54.36,1.14
5,BD-S020,78.18,2.66
0118571020-P-0-0,,2020-06-20T11:59:59
0,BD-S005,44.25,0.8
1,BD-S007,47.85,1.14
2,BD-S016,48.99,0.61
3,BD-S010,49.6,0
4,BD-S007,49.6,1.14
5,BD-S020,75.52,2.66
0118631020-0-0,,2020-06-19T11:59:59
0,BD-S005,43.45,0.8
1,BD-S006,66.4,30
2,BD-S012,102.73,1
3,BD-S025,103.73,0
4,BD-S012,103.73,1
5,BD-S016,106.97,0.61
6,BD-S018,107.58,0
0118641020-0-0,,2020-06-20T11:59:59
0118651020-0-0,,2020-03-30T11:59:59
0,BD-S005,0.8,0.8
1,BD-S007,1.6,1.14
2,BD-S011,2.74,0
3,BD-S007,2.74,1.14
4,BD-S020,3.88,2.66
0118661020-0-0,,2020-06-18T11:59:59
0,BD-S005,42.65,0.8
