0117981020-0-0,,2020-06-13T11:59:59,,,,,,,,,,
0,BD-S005,0,0.8,,,,,,,,,
1,BD-S007,0.8,1.14,,,,,,,,,
2,BD-S016,1.94,0.61,,,,,,,,,
3,BD-S011,2.55,0,,,,,,,,,
4,BD-S008,2.55,1.77,,,,,,,,,
5,BD-S019,4.32,2.66,,,,,,,,,
0118381020-P-0-0,,2020-06-15T11:59:59,,,,,,,,,,
0,BD-S005,0.8,0.8,,,,,,,,,
1,BD-S008,4.32,1.77,,,,,,,,,
2,BD-S016,6.09,0.61,,,,,,,,,
3,BD-S010,6.7,0,,,,,,,,,
4,BD-S024,6.7,2,,,,,,,,,
5,BD-S019,8.7,2.66,,,,,,,,,
0118391020-P-0-0,,2020-06-15T11:59:59,,,,,,,,,,
0,BD-S005,1.6,0.8,,,,,,,,,
1,BD-S008,6.09,1.77,,,,,,,,,
2,BD-S016,7.86,0.61,,,,,,,,,
3,BD-S010,8.47,0,,,,,,,,,
4,BD-S024,8.7,2,,,,,,,,,
5,BD-S019,11.36,2.66,,,,,,,,,
0118401020-P-0-0,,2020-06-15T11:59:59,,,,,,,,,,
0,BD-S005,2.4,0.8,,,,,,,,,
1,BD-S007,3.2,1.14,,,,,,,,,
2,BD-S016,4.34,0.61,,,,,,,,,
3,BD-S010,4.95,0,,,,,,,,,
4,BD-S024,10.7,2,,,,,,,,,
5,BD-S019,14.02,2.66,,,,,,,,,
0118411020-P-0-0,,2020-06-15T11:59:59,,,,,,,,,,
0,BD-S005,3.2,0.8,,,,,,,,,
1,BD-S007,4.34,1.14,,,,,,,,,
2,BD-S016,5.48,0.61,,,,,,,,,
3,BD-S010,6.09,0,,,,,,,,,
4,BD-S024,12.7,2,,,,,,,,,
5,BD-S019,16.68,2.66,,,,,,,,,
0118421020-A-0-0,,2020-06-20T11:59:59,,,,,,,,,,
0,BD-S005,4,0.8,,,,,,,,,
1,BD-S007,5.48,1.14,,,,,,,,,
2,BD-S016,6.7,0.61,,,,,,,,,
3,BD-S010,7.31,0,,,,,,,,,
4,BD-S007,7.31,1.14,,,,,,,,,
5,BD-S020,8.45,2.66,,,,,,,,,
