0117981020-0-0,,2020-06-13T11:59:59
0,BD-S005,27.46,0.8
1,BD-S007,29.62,1.14
2,BD-S016,30.76,0.61
3,BD-S011,31.37,0
4,BD-S008,76.05,1.77
5,BD-S019,77.82,2.66
0118381020-P-0-0,,2020-06-15T11:59:59
0,BD-S005,14.13,0.8
1,BD-S008,17.87,1.77
2,BD-S016,19.64,0.61
3,BD-S010,20.25,0
4,BD-S024,23.88,2
5,BD-S019,31.76,2.66
0118391020-P-0-0,,2020-06-15T11:59:59
0,BD-S005,9.33,0.8
1,BD-S008,11.88,1.77
2,BD-S016,13.65,0.61
3,BD-S010,14.26,0
4,BD-S024,15.88,2
5,BD-S019,21.12,2.66
0118401020-P-0-0,,2020-06-15T11:59:59
0,BD-S005,2.93,0.8
1,BD-S007,4.07,1.14
2,BD-S016,5.21,0.61
3,BD-S010,5.82,0
4,BD-S024,5.82,2
5,BD-S019,7.82,2.66
0118411020-P-0-0,,2020-06-15T11:59:59
0,BD-S005,5.33,0.8
1,BD-S007,6.13,1.14
2,BD-S016,7.27,0.61
3,BD-S010,7.88,0
4,BD-S024,7.88,2
5,BD-S019,10.48,2.66
0118421020-A-0-0,,2020-06-20T11:59:59
0,BD-S005,51.23,0.8
1,BD-S007,62.13,1.14
2,BD-S016,63.27,0.61
3,BD-S010,63.88,0
4,BD-S007,63.88,1.14
5,BD-S020,86.68,2.66
0118431020-P-0-0,,2020-06-15T11:59:59
0,BD-S005,6.13,0.8
1,BD-S007,7.27,1.14
2,BD-S016,8.41,0.61
3,BD-S010,9.02,0
4,BD-S024,9.88,2
5,BD-S019,13.14,2.66
0118441020-P-0-0,,2020-06-15T11:59:59
0,BD-S005,7.73,0.8
1,BD-S007,8.53,1.14
2,BD-S016,10.11,0.61
3,BD-S010,10.72,0
4,BD-S024,11.88,2
5,BD-S019,15.8,2.66
0118451020-P-0-0,,2020-06-15T11:59:59
0,BD-S005,8.53,0.8
1,BD-S007,9.67,1.14
2,BD-S016,10.81,0.61
3,BD-S010,11.42,0
4,BD-S024,13.88,2
5,BD-S019,18.46,2.66
0118461020-P-0-0,,2020-06-15T11:59:59
0,BD-S005,11.73,0.8
1,BD-S007,13.21,1.14
2,BD-S016,14.87,0.61
3,BD-S010,15.48,0
4,BD-S024,21.88,2
5,BD-S019,29.1,2.66
0118471020-P-0-0,,2020-06-15T11:59:59
0,BD-S005,10.13,0.8
1,BD-S007,10.93,1.14
2,BD-S016,12.07,0.61
3,BD-S010,12.68,0
4,BD-S024,17.88,2
5,BD-S019,23.78,2.66
0118481020-P-0-0,,2020-06-15T11:59:59
0,BD-S005,18.13,0.8
1,BD-S008,24.95,1.77
2,BD-S016,26.72,0.61
3,BD-S010,27.33,0
4,BD-S024,27.33,2
5,BD-S019,44.37,2.66
0118491020-P-0-0,,2020-06-15T11:59:59
0,BD-S005,28.26,0.8
1,BD-S008,77.82,1.77
2,BD-S016,79.59,0.61
3,BD-S010,80.2,0
4,BD-S024,80.2,2
5,BD-S019,82.2,2.66
0118501020-P-0-0,,2020-06-15T11:59:59
0,BD-S005,10.93,0.8
1,BD-S007,12.07,1.14
2,BD-S016,14.26,0.61
3,BD-S010,14.87,0
4,BD-S024,19.88,2
5,BD-S019,26.44,2.66
0118511020-P-0-0,,2020-06-18T11:59:59
0,BD-S005,102.43,0.8
1,BD-S007,104.25,1.14
2,BD-S016,146.84,2.66
0118521020-P-0-0,,2020-06-21T11:59:59
0,BD-S005,97.1,0.8
1,BD-S007,97.9,1.14
2,BD-S016,141.92,2.66
0118531020-P-0-0,,2020-06-21T11:59:59
0,BD-S005,106.16,0.8
1,BD-S007,107.3,1.14
2,BD-S016,150.72,2.66
0118541020-P-0-0,,2020-06-23T11:59:59
0,BD-S005,79.61,0.8
1,BD-S007,90.22,1.14
2,BD-S016,129.12,2.66
0118551020-A-0-0,,2020-06-20T11:59:59
0,BD-S005,47.23,0.8
1,BD-S007,48.47,1.14
2,BD-S016,53.89,0.61
3,BD-S010,54.5,0
4,BD-S007,55.82,1.14
5,BD-S020,64.81,2.66
0118571020-P-0-0,,2020-06-20T11:59:59
0,BD-S005,48.83,0.8
1,BD-S007,49.63,1.14
2,BD-S016,54.5,0.61
3,BD-S010,55.11,0
4,BD-S007,56.96,1.14
5,BD-S020,67.47,2.66
0118631020-0-0,,2020-06-19T11:59:59
0,BD-S005,70.26,0.8
1,BD-S006,73.33,30
2,BD-S012,108.26,1
3,BD-S025,109.26,0
4,BD-S012,109.26,1
5,BD-S016,121.71,0.61
6,BD-S018,122.32,0
0118641020-0-0,,2020-06-20T11:59:59
0118651020-0-0,,2020-03-30T11:59:59
0,BD-S005,108.56,0.8
1,BD-S007,109.36,1.14
2,BD-S011,110.5,0
3,BD-S007,110.5,1.14
4,BD-S020,111.64,2.66
0118661020-0-0,,2020-06-18T11:59:59
0,BD-S005,107.76,0.8
1,BD-S006,127.66,30
2,BD-S012,158.66,1
3,BD-S016,161.32,2.66
