0117981020-0-0,,2020-06-13T11:59:59
0,BD-S005,8.26,0.8
1,BD-S007,9.06,1.14
2,BD-S016,12.43,0.61
3,BD-S011,13.04,0
4,BD-S008,13.04,1.77
5,BD-S019,14.81,2.66
0118381020-P-0-0,,2020-06-15T11:59:59
0,BD-S005,9.86,0.8
1,BD-S008,10.66,1.77
2,BD-S016,15.94,0.61
3,BD-S010,16.55,0
4,BD-S024,16.55,2
5,BD-S019,18.55,2.66
0118391020-P-0-0,,2020-06-15T11:59:59
0,BD-S005,12.14,0.8
1,BD-S008,14.81,1.77
2,BD-S016,16.58,0.61
3,BD-S010,17.19,0
4,BD-S024,18.55,2
5,BD-S019,21.21,2.66
0118401020-P-0-0,,2020-06-15T11:59:59
0,BD-S005,14.54,0.8
1,BD-S007,15.34,1.14
2,BD-S016,17.19,0.61
3,BD-S010,17.8,0
4,BD-S024,24.55,2
5,BD-S019,29.19,2.66
0118411020-P-0-0,,2020-06-15T11:59:59
0,BD-S005,15.34,0.8
1,BD-S007,16.48,1.14
2,BD-S016,18.96,0.61
3,BD-S010,19.57,0
4,BD-S024,26.55,2
5,BD-S019,31.85,2.66
0118421020-A-0-0,,2020-06-20T11:59:59
0,BD-S005,63.25,0.8
1,BD-S007,96.31,1.14
2,BD-S016,104.15,0.61
3,BD-S010,104.76,0
4,BD-S007,104.76,1.14
5,BD-S020,105.9,2.66
0118431020-P-0-0,,2020-06-15T11:59:59
0,BD-S005,16.14,0.8
1,BD-S007,17.62,1.14
2,BD-S016,20.73,0.61
3,BD-S010,21.34,0
4,BD-S024,28.55,2
5,BD-S019,34.51,2.66
0118441020-P-0-0,,2020-06-15T11:59:59
0,BD-S005,16.94,0.8
1,BD-S007,18.76,1.14
2,BD-S016,21.34,0.61
3,BD-S010,21.95,0
4,BD-S024,30.55,2
5,BD-S019,37.17,2.66
0118451020-P-0-0,,2020-06-15T11:59:59
0,BD-S005,17.74,0.8
1,BD-S007,19.9,1.14
2,BD-S016,21.95,0.61
3,BD-S010,22.56,0
4,BD-S024,32.55,2
5,BD-S019,39.83,2.66
0118461020-P-0-0,,2020-06-15T11:59:59
0,BD-S005,18.54,0.8
1,BD-S007,21.04,1.14
2,BD-S016,22.56,0.61
3,BD-S010,23.17,0
4,BD-S024,34.55,2
5,BD-S019,42.49,2.66
0118471020-P-0-0,,2020-06-15T11:59:59
0,BD-S005,19.34,0.8
1,BD-S007,22.18,1.14
2,BD-S016,23.32,0.61
3,BD-S010,23.93,0
4,BD-S024,36.55,2
5,BD-S019,45.15,2.66
0118481020-P-0-0,,2020-06-15T11:59:59
0,BD-S005,12.94,0.8
1,BD-S008,16.58,1.77
2,BD-S016,18.35,0.61
3,BD-S010,18.96,0
4,BD-S024,20.55,2
5,BD-S019,23.87,2.66
0118491020-P-0-0,,2020-06-15T11:59:59
0,BD-S005,13.74,0.8
1,BD-S008,18.35,1.77
2,BD-S016,20.12,0.61
3,BD-S010,20.73,0
4,BD-S024,22.55,2
5,BD-S019,26.53,2.66
0118501020-P-0-0,,2020-06-15T11:59:59
0,BD-S005,20.14,0.8
1,BD-S007,23.32,1.14
2,BD-S016,24.46,0.61
3,BD-S010,25.07,0
4,BD-S024,38.55,2
5,BD-S019,47.81,2.66
0118511020-P-0-0,,2020-06-18T11:59:59
0,BD-S005,49.12,0.8
1,BD-S007,62.26,1.14
2,BD-S016,64.39,2.66
0118521020-P-0-0,,2020-06-21T11:59:59
0,BD-S005,83.53,0.8
1,BD-S007,108.18,1.14
2,BD-S016,139.81,2.66
0118531020-P-0-0,,2020-06-21T11:59:59
0,BD-S005,82.73,0.8
1,BD-S007,107.04,1.14
2,BD-S016,137.15,2.66
0118541020-P-0-0,,2020-06-23T11:59:59
0,BD-S005,103.16,0.8
1,BD-S007,123.24,1.14
2,BD-S016,151.75,2.66
0118551020-A-0-0,,2020-06-20T11:59:59
0,BD-S005,64.85,0.8
1,BD-S007,98.59,1.14
2,BD-S016,108.95,0.61
3,BD-S010,109.56,0
4,BD-S007,109.56,1.14
5,BD-S020,111.22,2.66
0118571020-P-0-0,,2020-06-20T11:59:59
0,BD-S005,64.05,0.8
1,BD-S007,97.45,1.14
2,BD-S016,104.76,0.61
3,BD-S010,105.37,0
4,BD-S007,105.9,1.14
5,BD-S020,108.56,2.66
0118631020-0-0,,2020-06-19T11:59:59
0,BD-S005,46.72,0.8
1,BD-S006,50.92,30
2,BD-S012,91.62,1
3,BD-S025,92.62,0
4,BD-S012,92.62,1
5,BD-S016,93.62,0.61
6,BD-S018,94.23,0
0118641020-0-0,,2020-06-20T11:59:59
0118651020-0-0,,2020-03-30T11:59:59
0,BD-S005,0,0.8
1,BD-S007,0.8,1.14
2,BD-S011,1.94,0
3,BD-S007,1.94,1.14
4,BD-S020,3.08,2.66
0118661020-0-0,,2020-06-18T11:59:59
0,BD-S005,35.54,0.8
1,BD-S006,40.54,30
2,BD-S012,86.62,1
3,BD-S016,87.62,2.66
0118671020-0-0,,2020-06-18T11:59:59
0,BD-S005,34.74,0.8
1,BD-S006,40.54,30
2,BD-S012,82.79,1
3,BD-S025,83.79,0
4,BD-S012,85.62,1
5,BD-S020,88.28,2.66
0118681020-0-0,,2020-06-14T11:59:59
0,BD-S005,7.46,0.8
1,BD-S006,11.13,30
2,BD-S012,41.13,1
3,BD-S025,42.13,0
4,BD-S012,42.13,1
5,BD-S016,43.13,2.66
0118691020-0-0,,2020-06-17T11:59:59
0,BD-S005,29.14,0.8
1,BD-S006,42.46,30
2,BD-S012,76.46,1
3,BD-S025,77.46,0
4,BD-S012,77.46,1
5,BD-S016,78.46,0.61
6,BD-S018,79.07,0
0118701020-0-0,,2020-06-17T11:59:59
0,BD-S005,28.34,0.8
1,BD-S006,42.46,30
2,BD-S012,74.46,1
3,BD-S025,75.46,0
4,BD-S012,75.46,1
5,BD-S016,76.73,0.61
6,BD-S018,77.34,0
0118711020-0-1,,2020-06-17T11:59:59
0,BD-S005,29.94,0.8
1,BD-S006,48.79,30
2,BD-S012,79.79,1
3,BD-S025,80.79,0
4,BD-S012,80.79,1
5,BD-S016,82.45,0.61
6,BD-S018,83.06,0
0118711020-0-2,,2020-06-17T11:59:59
0118711020-0-3,,2020-06-17T11:59:59
0118721020-0-0,,2020-06-19T11:59:59
0,BD-S005,47.52,0.8
1,BD-S006,70.54,30
2,BD-S012,100.54,1
3,BD-S025,101.54,0
4,BD-S012,101.54,1
5,BD-S016,102.54,0.61
6,BD-S018,103.15,0
0118731020-0-0,,2020-06-19T11:59:59
0,BD-S005,45.12,0.8
1,BD-S006,50.92,30
2,BD-S012,87.62,1
3,BD-S025,88.62,0
4,BD-S012,88.62,1
5,BD-S016,90.28,0.61
6,BD-S018,90.89,0
0118741020-0-0,,2020-06-19T11:59:59
0,BD-S005,45.92,0.8
1,BD-S006,50.92,30
2,BD-S012,89.62,1
3,BD-S025,90.62,0
4,BD-S012,90.62,1
5,BD-S016,91.62,0.61
6,BD-S018,92.23,0
0118751020-0-0,,2020-06-24T11:59:59
0,BD-S005,100.76,0.8
1,BD-S006,110.92,30
2,BD-S012,149.14,1
3,BD-S025,150.14,0
4,BD-S012,150.14,1
5,BD-S016,151.14,0.61
6,BD-S018,151.75,0
0118761020-0-0,,2020-06-19T11:59:59
0,BD-S005,58.45,0.8
1,BD-S007,66.67,1.14
2,BD-S016,69.71,0.61
3,BD-S009,70.32,0
4,BD-S007,70.32,1.14
5,BD-S020,80.53,2.66
0118761020-0-2,,2020-06-19T11:59:59
0118771020-0-0,,2020-06-16T11:59:59
0,BD-S005,33.14,0.8
1,BD-S007,52.53,1.14
2,BD-S016,53.67,0.61
3,BD-S010,54.28,0
4,BD-S007,54.28,1.14
5,BD-S020,55.42,2.66
0118781020-0-0,,2020-06-16T11:59:59
0,BD-S004,0.5,0.5
1,BD-S005,30.74,0.8
2,BD-S007,31.54,1.14
3,BD-S016,33.33,0.61
4,BD-S010,33.94,0
5,BD-S007,45.61,1.14
6,BD-S020,46.75,2.66
0118791020-0-0,,2020-06-16T11:59:59
0,BD-S004,1,0.5
1,BD-S005,31.54,0.8
2,BD-S007,46.75,1.14
3,BD-S016,47.89,0.61
4,BD-S010,48.5,0
5,BD-S007,48.5,1.14
6,BD-S020,49.64,2.66
0118801020-0-0,,2020-06-18T11:59:59
0,BD-S004,1.5,0.5
1,BD-S005,48.32,0.8
2,BD-S007,61.12,1.14
3,BD-S016,63.78,0.61
4,BD-S010,64.39,0
5,BD-S007,64.39,1.14
6,BD-S020,66.92,2.66
0118811020-0-0,,2020-06-23T11:59:59
0,BD-S005,102.36,0.8
1,BD-S007,122.1,1.14
2,BD-S016,130.69,0.61
3,BD-S011,131.3,0
4,BD-S008,175.17,1.77
5,BD-S011,176.94,0
6,BD-S013,176.94,1.77
7,BD-S020,179.6,2.66
0118821020-0-0,,2020-06-23T11:59:59
0,BD-S005,101.56,0.8
1,BD-S007,120.96,1.14
2,BD-S016,122.76,0.61
3,BD-S011,123.37,0
4,BD-S008,173.4,1.77
5,BD-S011,175.17,0
6,BD-S013,175.17,1.77
7,BD-S020,176.94,2.66
0118831020-0-0,,2020-06-21T11:59:59
0,BD-S005,81.93,0.8
1,BD-S007,103.15,1.14
2,BD-S016,110.17,0.61
3,BD-S011,110.78,0
4,BD-S012,125.54,1
5,BD-S020,126.54,2.66
0118841020-0-0,,2020-06-17T11:59:59
0,BD-S005,24.67,0.8
1,BD-S006,40.78,30
2,BD-S012,70.78,1
3,BD-S016,71.78,0.61
4,BD-S025,72.39,0
5,BD-S007,72.39,1.14
6,BD-S020,73.53,2.66
0118851020-0-0,,2020-06-17T11:59:59
0,BD-S005,27.54,0.8
1,BD-S006,40.78,30
2,BD-S012,73.46,1
3,BD-S016,76.12,0.61
4,BD-S025,76.73,0
5,BD-S007,76.73,1.14
6,BD-S020,77.87,2.66
0118861020-0-0,,2020-06-17T11:59:59
0,BD-S005,37.14,0.8
1,BD-S007,56.56,1.14
2,BD-S016,57.7,0.61
3,BD-S011,58.31,0
4,BD-S008,58.94,1.77
5,BD-S020,61.6,2.66
0118871020-0-0,,2020-06-24T11:59:59
0,BD-S005,105.56,0.8
1,BD-S007,158.04,1.14
2,BD-S016,159.18,0.61
3,BD-S011,159.79,0
4,BD-S008,180.48,1.77
5,BD-S020,184.92,2.66
0118881020-0-0,,2020-06-17T11:59:59
0,BD-S005,38.74,0.8
1,BD-S007,58.84,1.14
2,BD-S016,59.98,0.61
3,BD-S011,60.59,0
4,BD-S008,62.48,1.77
5,BD-S020,64.26,2.66
0118911020-0-0,,2020-06-22T11:59:59
0,BD-S005,92.09,0.8
1,BD-S007,116.4,1.14
2,BD-S016,117.96,0.61
3,BD-S011,118.57,0
4,BD-S008,120.67,1.77
5,BD-S019,122.44,0
6,BD-S021,122.44,0
0118921020-0-0,,2020-06-22T11:59:59
0,BD-S005,95.97,0.8
1,BD-S007,119.82,1.14
2,BD-S016,122.15,0.61
3,BD-S011,122.76,0
4,BD-S008,156.32,1.77
5,BD-S019,158.09,0
6,BD-S021,158.09,0
0118931020-0-0,,2020-06-17T11:59:59
0,BD-S005,36.34,0.8
1,BD-S007,55.42,1.14
2,BD-S016,56.56,0.61
3,BD-S011,57.17,0
4,BD-S008,57.17,1.77
5,BD-S020,58.94,2.66
0118941020-0-0,,2020-06-22T11:59:59
0,BD-S005,87.53,0.8
1,BD-S007,111.84,1.14
2,BD-S016,112.98,0.61
3,BD-S011,113.59,0
4,BD-S008,113.59,1.77
5,BD-S020,116.54,2.66
0118951020-0-0,,2020-06-22T11:59:59
0,BD-S005,89.93,0.8
1,BD-S007,115.26,1.14
2,BD-S016,117.35,0.61
3,BD-S011,117.96,0
4,BD-S008,118.9,1.77
5,BD-S020,129.2,2.66
0118961020-0-0,,2020-06-22T11:59:59
0,BD-S005,88.33,0.8
1,BD-S007,112.98,1.14
2,BD-S016,114.55,0.61
3,BD-S011,115.16,0
4,BD-S008,115.36,1.77
5,BD-S020,119.2,2.66
0118971020-0-0,,2020-06-22T11:59:59
0,BD-S005,89.13,0.8
1,BD-S007,114.12,1.14
2,BD-S016,115.26,0.61
3,BD-S011,115.87,0
4,BD-S008,117.13,1.77
5,BD-S020,121.86,2.66
0118981020-C-0-0,,2020-06-22T11:59:59
0,BD-S005,92.89,0.8
1,BD-S007,117.54,1.14
2,BD-S016,118.68,0.61
3,BD-S011,119.29,0
4,BD-S008,122.44,1.77
5,BD-S019,124.21,0
6,BD-S021,124.21,0
0118991020-A-0-0,,2020-06-22T11:59:59
0,BD-S005,95.17,0.8
1,BD-S007,118.68,1.14
2,BD-S016,120.15,0.61
3,BD-S011,120.76,0
4,BD-S008,154.55,1.77
5,BD-S019,156.32,0
6,BD-S021,156.32,0
0119001020-0-0,,2020-06-17T11:59:59
0,BD-S005,37.94,0.8
1,BD-S007,57.7,1.14
2,BD-S016,58.84,0.61
3,BD-S011,59.45,0
4,BD-S008,60.71,1.77
